date_key,date,year,month,quarter,day_of_week,week_of_year,year_month
20190627,2019-06-27,2019,6,2,3,26,2019-06
20190628,2019-06-28,2019,6,2,4,26,2019-06
20190629,2019-06-29,2019,6,2,5,26,2019-06
20190630,2019-06-30,2019,6,2,6,26,2019-06
20190701,2019-07-01,2019,7,3,0,27,2019-07
20190702,2019-07-02,2019,7,3,1,27,2019-07
20190703,2019-07-03,2019,7,3,2,27,2019-07
20190704,2019-07-04,2019,7,3,3,27,2019-07
20190705,2019-07-05,2019,7,3,4,27,2019-07
20190706,2019-07-06,2019,7,3,5,27,2019-07
20190707,2019-07-07,2019,7,3,6,27,2019-07
20190708,2019-07-08,2019,7,3,0,28,2019-07
20190709,2019-07-09,2019,7,3,1,28,2019-07
20190710,2019-07-10,2019,7,3,2,28,2019-07
20190711,2019-07-11,2019,7,3,3,28,2019-07
20190712,2019-07-12,2019,7,3,4,28,2019-07
20190713,2019-07-13,2019,7,3,5,28,2019-07
20190714,2019-07-14,2019,7,3,6,28,2019-07
20190715,2019-07-15,2019,7,3,0,29,2019-07
20190716,2019-07-16,2019,7,3,1,29,2019-07
20190717,2019-07-17,2019,7,3,2,29,2019-07
20190718,2019-07-18,2019,7,3,3,29,2019-07
20190719,2019-07-19,2019,7,3,4,29,2019-07
20190720,2019-07-20,2019,7,3,5,29,2019-07
20190721,2019-07-21,2019,7,3,6,29,2019-07
20190722,2019-07-22,2019,7,3,0,30,2019-07
20190723,2019-07-23,2019,7,3,1,30,2019-07
20190724,2019-07-24,2019,7,3,2,30,2019-07
20190725,2019-07-25,2019,7,3,3,30,2019-07
20190726,2019-07-26,2019,7,3,4,30,2019-07
20190727,2019-07-27,2019,7,3,5,30,2019-07
20190728,2019-07-28,2019,7,3,6,30,2019-07
20190729,2019-07-29,2019,7,3,0,31,2019-07
20190730,2019-07-30,2019,7,3,1,31,2019-07
20190731,2019-07-31,2019,7,3,2,31,2019-07
20190801,2019-08-01,2019,8,3,3,31,2019-08
20190802,2019-08-02,2019,8,3,4,31,2019-08
20190803,2019-08-03,2019,8,3,5,31,2019-08
20190804,2019-08-04,2019,8,3,6,31,2019-08
20190805,2019-08-05,2019,8,3,0,32,2019-08
20190806,2019-08-06,2019,8,3,1,32,2019-08
20190807,2019-08-07,2019,8,3,2,32,2019-08
20190808,2019-08-08,2019,8,3,3,32,2019-08
20190809,2019-08-09,2019,8,3,4,32,2019-08
20190810,2019-08-10,2019,8,3,5,32,2019-08
20190811,2019-08-11,2019,8,3,6,32,2019-08
20190812,2019-08-12,2019,8,3,0,33,2019-08
20190813,2019-08-13,2019,8,3,1,33,2019-08
20190814,2019-08-14,2019,8,3,2,33,2019-08
20190815,2019-08-15,2019,8,3,3,33,2019-08
20190816,2019-08-16,2019,8,3,4,33,2019-08
20190817,2019-08-17,2019,8,3,5,33,2019-08
20190818,2019-08-18,2019,8,3,6,33,2019-08
20190819,2019-08-19,2019,8,3,0,34,2019-08
20190820,2019-08-20,2019,8,3,1,34,2019-08
20190821,2019-08-21,2019,8,3,2,34,2019-08
20190822,2019-08-22,2019,8,3,3,34,2019-08
20190823,2019-08-23,2019,8,3,4,34,2019-08
20190824,2019-08-24,2019,8,3,5,34,2019-08
20190825,2019-08-25,2019,8,3,6,34,2019-08
20190826,2019-08-26,2019,8,3,0,35,2019-08
20190827,2019-08-27,2019,8,3,1,35,2019-08
20190828,2019-08-28,2019,8,3,2,35,2019-08
20190829,2019-08-29,2019,8,3,3,35,2019-08
20190830,2019-08-30,2019,8,3,4,35,2019-08
20190831,2019-08-31,2019,8,3,5,35,2019-08
20190901,2019-09-01,2019,9,3,6,35,2019-09
20190902,2019-09-02,2019,9,3,0,36,2019-09
20190903,2019-09-03,2019,9,3,1,36,2019-09
20190904,2019-09-04,2019,9,3,2,36,2019-09
20190905,2019-09-05,2019,9,3,3,36,2019-09
20190906,2019-09-06,2019,9,3,4,36,2019-09
20190907,2019-09-07,2019,9,3,5,36,2019-09
20190908,2019-09-08,2019,9,3,6,36,2019-09
20190909,2019-09-09,2019,9,3,0,37,2019-09
20190910,2019-09-10,2019,9,3,1,37,2019-09
20190911,2019-09-11,2019,9,3,2,37,2019-09
20190912,2019-09-12,2019,9,3,3,37,2019-09
20190913,2019-09-13,2019,9,3,4,37,2019-09
20190914,2019-09-14,2019,9,3,5,37,2019-09
20190915,2019-09-15,2019,9,3,6,37,2019-09
20190916,2019-09-16,2019,9,3,0,38,2019-09
20190917,2019-09-17,2019,9,3,1,38,2019-09
